CAEX-790D-LIEBHERR-996					
6					
Cycle Time (m) Truck					
Cycle Time (m) Exc					
Loader Passes					
Payload(tonnes)	 				
ton/passes 					
Cycle Time (m) TE					
18.7	2.03	4	226	56.5	16.67
19.47	2.22	4	225.7	56.43	17.25
23.98	2.77	4	219.5	54.88	21.21
22.32	1.8	4	206.6	51.65	20.52
19.73	2.03	4	201.7	50.43	17.7
21.25	2.85	4	220.4	55.1	18.4
18.92	2.8	4	253.2	63.3	16.12
20.13	2.23	4	195.9	48.98	17.9
19.78	2.57	4	204.7	51.18	17.21
22.85	3.17	4	237.8	59.45	19.68
21.92	2.38	4	223.9	55.98	19.54
27.38	2.03	4	209.5	52.38	25.35
23.83	2.63	4	215.2	53.8	21.2
24.47	2.75	4	234.9	58.73	21.72
20.53	2.33	4	207.1	51.78	18.2
21.47	3.03	4	232.7	58.18	18.44
20.57	2.38	4	238.4	59.6	18.19
19.83	2.07	4	223.9	55.98	17.76
20.95	2.57	4	226.3	56.58	18.38
18.7	2.38	4	215.6	53.9	16.32
19.77	2.38	4	230.9	57.73	17.39
19.22	2.8	4	249.1	62.28	16.42
19.78	2.87	4	229	57.25	16.91
18.33	2.17	4	235.9	58.98	16.16
20.88	2.9	4	214.4	53.6	17.98
27.92	3.18	4	216	54	24.74
21.73	2.15	4	198.5	49.63	19.58
21.68	2.47	4	180.1	45.03	19.21
20.02	1.98	4	210	52.5	18.04
23.28	2.58	4	245.5	61.38	20.7
30.65	2.77	4	204.5	51.13	27.88
20.82	2.23	4	211.8	52.95	18.59
20.68	2.33	4	200.6	50.15	18.35
17.97	2.48	4	198.6	49.65	15.49
22.9	2.15	4	208.7	52.18	20.75
22.28	2.33	4	195.7	48.93	19.95
20.72	2.55	4	223.4	55.85	18.17
18.78	2.2	4	236.6	59.15	16.58
20.07	2.42	4	227.5	56.88	17.65
19.32	1.73	4	199.8	49.95	17.59
19.67	3.3	4	218.8	54.7	16.37
18.88	2.07	4	219.4	54.85	16.81
18.15	2.08	4	228.7	57.18	16.07
20.77	1.52	4	221.8	55.45	19.25
17.98	1.85	4	229	57.25	16.13
24.07	2.35	4	212.3	53.08	21.72
19.32	1.92	4	223.1	55.78	17.4
19.2	1.97	4	232.4	58.1	17.23
18.5	1.62	4	227.4	56.85	16.88
31.73	1.77	4	219.5	54.88	29.96
34.57	1.65	4	210.3	52.58	32.92
19.1	1.72	4	227.8	56.95	17.38
18.63	1.52	4	236.9	59.23	17.11
25.02	1.88	4	200.9	50.23	23.14
22.25	2.02	4	222.2	55.55	20.23
23.22	1.58	4	207.3	51.83	21.64
20.58	1.65	4	237.3	59.33	18.93
20.92	2.25	4	224.6	56.15	18.67
